,PlayerID,PlayerName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
1844,2980,Dean Whitehead,Midfielder,14814.0,2.0,2.0,1.0,0.0,5.0
766,3833,Brian Jensen,Goalkeeper,3345.0,0.0,3.0,2.0,0.0,5.0
765,3610,David Stockdale,Goalkeeper,3358.0,0.0,4.0,0.0,1.0,5.0
1852,2837,Alexandre Song,Midfielder,13267.0,1.0,0.0,3.0,1.0,5.0
1854,3244,Jake Livermore,Midfielder,14236.0,2.0,0.0,2.0,1.0,5.0
20,2845,Emmanuel Adebayor,Forward,14938.0,2.0,2.0,0.0,1.0,5.0
1863,4341,Yohan Cabaye,Midfielder,13691.0,0.0,4.0,1.0,0.0,5.0
931,4487,Matthew Lowton,Defender,19328.0,1.0,2.0,2.0,0.0,5.0
758,4696,Joel Robles,Goalkeeper,4457.0,0.0,4.0,1.0,0.0,5.0
746,66378,Illan Meslier,Goalkeeper,6535.0,0.0,3.0,1.0,1.0,5.0
39,3175,Andy Carroll,Forward,13827.0,2.0,2.0,1.0,0.0,5.0
2210,3327,Chris Herd,Midfielder,2509.0,1.0,2.0,2.0,0.0,5.0
742,2664,Julian Speroni,Goalkeeper,7795.0,0.0,5.0,0.0,0.0,5.0
1911,1391,Rory Delap,Midfielder,10241.0,1.0,1.0,2.0,1.0,5.0
921,3394,Brede Hangeland,Defender,20992.0,1.0,1.0,1.0,2.0,5.0
1925,1361,George Boateng,Midfielder,6523.0,2.0,2.0,1.0,0.0,5.0
917,3929,Joel Ward,Defender,22116.0,0.0,3.0,1.0,1.0,5.0
1933,5001,Emre Can,Midfielder,9019.0,1.0,3.0,1.0,0.0,5.0
733,11341,Rui Patrício,Goalkeeper,10078.0,0.0,5.0,0.0,0.0,5.0
58,3154,Daniel Sturridge,Forward,11333.0,1.0,2.0,2.0,0.0,5.0
2179,4841,Paulinho,Midfielder,2860.0,1.0,4.0,0.0,0.0,5.0
912,2886,Ryan Bertrand,Defender,22728.0,2.0,1.0,2.0,0.0,5.0
1959,24626,Douglas Luiz,Midfielder,8117.0,1.0,1.0,3.0,0.0,5.0
713,2070,Edwin van der Sar,Goalkeeper,10338.0,0.0,5.0,0.0,0.0,5.0
1975,4560,Alexander Tettey,Midfielder,7692.0,0.0,4.0,1.0,0.0,5.0
2032,2584,Keith Andrews,Midfielder,5506.0,0.0,1.0,4.0,0.0,5.0
1776,3712,Jordan Henderson,Midfielder,30144.0,2.0,2.0,1.0,0.0,5.0
892,3030,Leighton Baines,Defender,29200.0,0.0,1.0,2.0,2.0,5.0
1846,4843,Etienne Capoue,Midfielder,14740.0,1.0,1.0,3.0,0.0,5.0
1874,3751,Youssouf Mulumbu,Midfielder,12791.0,4.0,0.0,1.0,0.0,5.0
